start_time,end_time,duration,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,precipitation,temperature,wind_speed,weather,sunshine,season,is_holiday,is_weekend
2023-08-07 11:00:00,2023-08-07 11:00:00,696,217,Nykirkekaien,60.39705738914522,5.314548482139799,1889,Nordnes Sjøbad,60.39901997750764,5.303322069576893,0.0,15.8,5.1,4,0,1,False,False
2023-09-04 08:00:00,2023-09-04 08:00:00,446,58,Tårnplass,60.39375532002469,5.3217920958013565,87,AdO arena,60.38543124330305,5.337431780062616,0.8,15.4,4.9,46,0,1,False,False
2023-06-14 17:00:00,2023-06-14 17:00:00,200,812,Hans Hauges gate,60.40190553013225,5.324747767839426,140,Sandviksbodene,60.40569501689435,5.323373526334763,0.0,24.3,3.9,1,60,0,False,False
2023-10-05 15:00:00,2023-10-05 16:00:00,1770,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,810,Amalie Skrams vei Sør,60.408096993005785,5.325510899047174,0.0,12.8,2.6,2,33,2,False,False
2023-09-13 09:00:00,2023-09-13 10:00:00,3201,3,Grieghallen,60.38819667374428,5.328564137089416,8,Haukeland sykehus,60.373637920628255,5.35659456239955,0.0,11.1,4.8,2,60,1,False,False
2023-06-23 13:00:00,2023-06-23 13:00:00,504,220,Møllendalsplass,60.379685765470725,5.3519936304809335,34,Cornerteateret,60.38246949877819,5.32609348920866,0.0,18.4,4.8,2,60,1,False,False
2023-09-07 13:00:00,2023-09-07 13:00:00,230,819,Thormøhlens gate,60.38316244112318,5.324053067317891,214,Nygårdsporten,60.3839343833222,5.333450454511649,0.0,19.8,5.1,4,0,1,False,False
2023-10-11 06:00:00,2023-10-11 06:00:00,386,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,220,Møllendalsplass,60.379685765470725,5.3519936304809335,1.5,7.5,3.6,4,0,2,False,False
2023-08-08 20:00:00,2023-08-08 20:00:00,597,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583,1.1,10.8,8.4,10,0,1,False,False
2023-10-01 13:00:00,2023-10-01 13:00:00,1497,140,Sandviksbodene,60.40569501689435,5.323373526334763,222,Sandviken Brygge,60.41294568274233,5.320870309021842,0.0,12.2,4.0,4,0,2,False,True
2023-06-28 11:00:00,2023-06-28 12:00:00,411,36,Torgallmenningen,60.39291769029913,5.323669092809325,215,Nonneseterplass,60.38967202352878,5.3336050852019525,0.0,20.2,4.3,4,60,1,False,False
2023-10-12 13:00:00,2023-10-12 14:00:00,610,75,Akvariet,60.39987652272946,5.304686307890734,83,Bergen jernbanestasjon,60.390414110522414,5.332650453823391,0.1,8.9,6.6,5,9,2,False,False
2023-06-20 14:00:00,2023-06-20 14:00:00,430,138,C. Sundts gate,60.39947506336557,5.308762204430565,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,23.5,3.2,4,31,0,False,False
2023-06-17 19:00:00,2023-06-17 19:00:00,490,1046,Ole Vigs gate,60.385922875207626,5.321431717819451,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,0.0,19.1,3.6,2,60,0,False,True
2023-05-24 20:00:00,2023-05-24 20:00:00,135,1892,Neumanns gate II,60.39097915423838,5.320656172070585,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,0.0,10.4,4.2,4,16,0,False,False
2023-05-24 16:00:00,2023-05-24 16:00:00,210,814,Nykirken,60.396949224333255,5.313494727727743,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,11.3,5.3,4,0,0,False,False
2023-08-03 14:00:00,2023-08-03 14:00:00,644,221,Sandvikstorget,60.408582102784685,5.322648583141813,58,Tårnplass,60.39375532002469,5.3217920958013565,0.0,21.1,3.5,4,37,1,False,False
2023-05-06 11:00:00,2023-05-06 11:00:00,1308,819,Thormøhlens gate,60.38316244112318,5.324053067317891,69,Laksevåg v/Kirkebukten,60.386068777690944,5.3001083072740585,0.0,12.7,1.7,4,31,0,False,True
2023-11-08 07:00:00,2023-11-08 07:00:00,661,138,C. Sundts gate,60.39947506336557,5.308762204430565,1888,Bergen Jernbanestasjon II,60.39066508674793,5.333027169585989,0.0,0.6,2.1,1,0,2,False,False
2023-09-19 11:00:00,2023-09-19 11:00:00,607,788,Danmarksplass,60.376082994809856,5.339851409058042,3,Grieghallen,60.38819667374428,5.328564137089416,0.2,11.6,2.8,5,21,1,False,False
2023-06-19 18:00:00,2023-06-19 19:00:00,1288,1891,Rosenbergsgaten,60.38904687509401,5.321882967938819,1897,NHH,60.42334343329279,5.303070676006087,0.0,19.7,2.3,4,0,0,False,False
2023-08-11 13:00:00,2023-08-11 13:00:00,118,7,Neumanns gate,60.39138580667719,5.319194867192266,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,17.6,3.0,1,60,1,False,False
2023-08-06 17:00:00,2023-08-06 17:00:00,571,814,Nykirken,60.396949224333255,5.313494727727743,819,Thormøhlens gate,60.38316244112318,5.324053067317891,0.0,21.1,3.7,3,60,1,False,True
2023-10-16 12:00:00,2023-10-16 12:00:00,410,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,58,Tårnplass,60.39375532002469,5.3217920958013565,0.1,6.4,5.8,9,0,2,False,False
2023-10-12 06:00:00,2023-10-12 06:00:00,579,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,2322,Høyteknologisenteret,60.38174958551062,5.331698655041777,0.5,7.7,8.0,5,0,2,False,False
2023-05-11 06:00:00,2023-05-11 06:00:00,393,2336,Møllestranden,60.380044402639385,5.350823586678217,214,Nygårdsporten,60.3839343833222,5.333450454511649,0.0,9.8,1.0,4,0,0,False,False
2023-06-27 18:00:00,2023-06-27 18:00:00,193,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,0.0,17.2,4.4,3,60,1,False,False
2023-07-20 06:00:00,2023-07-20 06:00:00,394,1892,Neumanns gate II,60.39097915423838,5.320656172070585,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,2.3,11.7,2.9,4,0,1,False,False
2023-05-09 05:00:00,2023-05-09 05:00:00,878,1048,Øvre Korskirkeallmenning,60.395099485721786,5.328645087376344,220,Møllendalsplass,60.379685765470725,5.3519936304809335,0.0,12.6,6.3,9,0,0,False,False
2023-06-02 13:00:00,2023-06-02 13:00:00,539,812,Hans Hauges gate,60.40190553013225,5.324747767839426,58,Tårnplass,60.39375532002469,5.3217920958013565,0.0,16.6,4.7,1,60,0,False,False
2023-06-12 12:00:00,2023-06-12 14:00:00,3858,214,Nygårdsporten,60.3839343833222,5.333450454511649,819,Thormøhlens gate,60.38316244112318,5.324053067317891,0.0,17.8,4.0,4,0,0,False,False
2023-11-07 20:00:00,2023-11-07 20:00:00,329,22,Skur 11,60.39638423113168,5.324169337618514,221,Sandvikstorget,60.408582102784685,5.322648583141813,0.0,3.4,1.4,3,0,2,False,False
2023-12-03 14:00:00,2023-12-03 14:00:00,410,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,2336,Møllestranden,60.380044402639385,5.350823586678217,0.1,0.3,2.6,4,0,2,False,True
2023-10-19 13:00:00,2023-10-19 14:00:00,425,806,Dreggsallmenningen Sør,60.39770902893835,5.32200057798218,221,Sandvikstorget,60.408582102784685,5.322648583141813,0.0,9.0,4.2,1,60,2,False,False
2023-08-14 14:00:00,2023-08-14 15:00:00,563,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,301,Lars Hilles,60.3881178890904,5.331487235597251,0.1,18.0,5.0,4,16,1,False,False
2023-05-24 13:00:00,2023-05-24 14:00:00,731,789,Busstasjonen 1 Nord,60.38890977889046,5.333817119783134,34,Cornerteateret,60.38246949877819,5.32609348920866,0.7,10.6,4.0,46,0,0,False,False
2023-06-11 18:00:00,2023-06-11 19:00:00,817,1889,Nordnes Sjøbad,60.3992308109043,5.302344558881117,806,Dreggsallmenningen Sør,60.39770902893835,5.32200057798218,0.0,21.0,5.3,2,37,0,False,True
2023-05-06 18:00:00,2023-05-06 18:00:00,1398,131,Gulating,60.391983600413376,5.32661819461282,645,Odontologen,60.38103776618004,5.35905189499951,0.0,14.6,3.9,2,60,0,False,True
2023-11-07 15:00:00,2023-11-07 15:00:00,205,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,639,Frydenbø Marina,60.384467341026586,5.310007717995973,0.0,7.1,1.2,4,60,2,False,False
2023-12-08 12:00:00,2023-12-08 12:00:00,783,3,Grieghallen,60.38819667374428,5.328564137089416,639,Frydenbø Marina,60.384467341026586,5.310007717995973,0.0,-1.7,2.1,4,0,2,False,False
2023-11-21 14:00:00,2023-11-21 14:00:00,401,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,2336,Møllestranden,60.380044402639385,5.350823586678217,0.0,3.3,3.3,3,17,2,False,False
2023-08-14 09:00:00,2023-08-14 10:00:00,805,819,Thormøhlens gate,60.38316244112318,5.324053067317891,367,Haraldsplass,60.37911124360612,5.361202283994771,0.5,16.8,5.3,4,31,1,False,False
2023-09-19 04:00:00,2023-09-19 04:00:00,149,814,Nykirken,60.396949224333255,5.313494727727743,36,Torgallmenningen,60.39291769029913,5.323669092809325,1.7,12.8,3.3,9,0,1,False,False
2023-07-03 08:00:00,2023-07-03 08:00:00,159,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,368,Festplassen,60.391123958982405,5.325713785893413,0.4,12.2,4.1,46,0,1,False,False
2023-05-05 14:00:00,2023-05-05 14:00:00,793,1899,Camilla Colletts gate,60.37214138801542,5.346568012885058,646,Bjørnsonsgate,60.373985939857135,5.342082137178068,0.0,14.2,4.1,3,60,0,False,False
2023-11-07 17:00:00,2023-11-07 17:00:00,175,36,Torgallmenningen,60.39291769029913,5.323669092809325,212,Klosteret,60.395137943082446,5.314946630388022,0.0,5.6,1.1,3,0,2,False,False
2023-10-02 13:00:00,2023-10-02 13:00:00,147,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,0.1,14.6,6.7,3,18,2,False,False
2023-07-17 05:00:00,2023-07-17 05:00:00,468,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,220,Møllendalsplass,60.379685765470725,5.3519936304809335,0.5,13.7,5.6,5,0,1,False,False
2023-08-30 15:00:00,2023-08-30 15:00:00,358,641,Krohnviken,60.37810721367397,5.331020769519228,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,0.0,18.3,2.2,3,60,1,False,False
2023-05-30 11:00:00,2023-05-30 11:00:00,491,34,Cornerteateret,60.38246949877819,5.32609348920866,803,Permanenten,60.3906427466302,5.324397430398562,0.0,10.9,3.4,4,0,0,False,False
2023-09-06 05:00:00,2023-09-06 05:00:00,274,36,Torgallmenningen,60.39291769029913,5.323669092809325,301,Lars Hilles,60.3881178890904,5.331487235597251,0.0,7.1,1.4,3,0,1,False,False
2023-08-31 19:00:00,2023-08-31 19:00:00,394,3,Grieghallen,60.38819667374428,5.328564137089416,808,Damsgårdsveien 71,60.38026271377996,5.323223146883635,0.0,17.4,2.6,3,47,1,False,False
2023-05-12 20:00:00,2023-05-12 20:00:00,489,795,Fosswinckels gate,60.38658166593217,5.327978744635743,217,Nykirkekaien,60.39705738914522,5.314548482139799,0.0,9.9,3.4,15,0,0,False,False
2023-08-20 19:00:00,2023-08-20 19:00:00,167,819,Thormøhlens gate,60.38316244112318,5.324053067317891,2322,Høyteknologisenteret,60.38174958551062,5.331698655041777,0.0,17.7,5.7,3,0,1,False,True
2023-11-05 14:00:00,2023-11-05 14:00:00,628,222,Sandviken Brygge,60.41294568274233,5.320870309021842,150,Torget,60.39587808663882,5.325283812313046,0.0,10.1,2.5,4,23,2,False,True
2023-11-19 15:00:00,2023-11-19 15:00:00,287,797,John Lunds plass,60.38824732496974,5.324558211682643,802,Håkonsgaten,60.39118461048114,5.318026298282803,0.0,6.4,4.3,4,0,2,False,True
2023-07-26 13:00:00,2023-07-26 13:00:00,184,3438,Fyllingsdalen bussterminal,60.34929962482292,5.288490147562243,3400,Lynghaugparken,60.35476186261224,5.293049946752319,0.0,20.6,3.5,3,60,1,False,False
2023-09-15 14:00:00,2023-09-15 14:00:00,1303,217,Nykirkekaien,60.39705738914522,5.314548482139799,788,Danmarksplass,60.376082994809856,5.339851409058042,0.0,15.4,4.4,4,0,1,False,False
2023-08-11 16:00:00,2023-08-11 16:00:00,351,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,2313,Solheimsviken,60.37708169275558,5.335575458852787,0.0,18.1,4.4,4,11,1,False,False
2023-09-10 20:00:00,2023-09-10 20:00:00,338,216,Johanneskirken,60.38853002489311,5.318665231464365,795,Fosswinckels gate,60.38658166593217,5.327978744635743,0.0,15.8,1.0,4,0,1,False,True
2023-12-08 14:00:00,2023-12-08 14:00:00,217,58,Tårnplass,60.39375532002469,5.3217920958013565,1043,Comfort Hotel Bergen,60.39622446162616,5.315384703788823,0.0,0.7,4.6,4,0,2,False,False
2023-09-04 16:00:00,2023-09-04 16:00:00,945,641,Krohnviken,60.37810721367397,5.331020769519228,33,Høgskulen på Vestlandet,60.369179844976586,5.349443793165847,0.0,17.5,6.3,3,34,1,False,False
2023-08-30 19:00:00,2023-08-30 19:00:00,1727,58,Tårnplass,60.39375532002469,5.3217920958013565,795,Fosswinckels gate,60.38658166593217,5.327978744635743,0.0,16.6,4.3,2,60,1,False,False
2023-08-04 12:00:00,2023-08-04 13:00:00,837,367,Haraldsplass,60.37911124360612,5.361202283994771,819,Thormøhlens gate,60.38316244112318,5.324053067317891,0.0,16.2,6.7,4,18,1,False,False
2023-08-03 17:00:00,2023-08-03 17:00:00,424,220,Møllendalsplass,60.379685765470725,5.3519936304809335,789,Busstasjonen 1 Nord,60.38890977889046,5.333817119783134,0.0,19.9,5.4,3,60,1,False,False
2023-06-27 13:00:00,2023-06-27 13:00:00,225,138,C. Sundts gate,60.39947506336557,5.308762204430565,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,0.0,17.4,5.5,3,5,1,False,False
2023-06-13 08:00:00,2023-06-13 08:00:00,335,2313,Solheimsviken,60.37708169275558,5.335575458852787,1044,Geofysen,60.38429376979795,5.330450845972905,0.0,17.4,1.3,3,27,0,False,False
2023-09-20 06:00:00,2023-09-20 06:00:00,196,150,Torget,60.39587808663882,5.325283812313046,815,Gågaten,60.395070112977045,5.31879835082907,0.0,11.4,4.0,9,0,1,False,False
2023-08-07 11:00:00,2023-08-07 11:00:00,890,301,Lars Hilles,60.3881178890904,5.331487235597251,151,Småstrandgaten,60.39309812241306,5.327022724925882,0.0,15.8,5.1,4,0,1,False,False
2023-11-07 07:00:00,2023-11-07 07:00:00,448,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,0.0,2.6,0.5,3,0,2,False,False
2023-10-24 15:00:00,2023-10-24 16:00:00,594,806,Dreggsallmenningen Sør,60.39770902893835,5.32200057798218,215,Nonneseterplass,60.38967202352878,5.3336050852019525,0.0,10.2,2.0,2,60,2,False,False
2023-05-10 19:00:00,2023-05-10 19:00:00,507,1047,Welhavens gate 64,60.38445114789948,5.324440726278226,789,Busstasjonen 1 Nord,60.38890977889046,5.333817119783134,0.2,10.9,2.4,9,0,0,False,False
2023-07-01 16:00:00,2023-07-01 16:00:00,1263,87,AdO arena,60.38543124330305,5.337431780062616,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,0.0,21.9,5.6,2,60,1,False,True
2023-09-26 08:00:00,2023-09-26 08:00:00,446,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,2322,Høyteknologisenteret,60.38174958551062,5.331698655041777,0.0,14.8,5.1,3,17,2,False,False
2023-06-15 14:00:00,2023-06-15 14:00:00,108,212,Klosteret,60.395137943082446,5.314946630388022,298,Østre Murallmenningen øvre,60.39397677863768,5.318713236118583,0.0,26.3,5.0,1,60,0,False,False
2023-07-16 09:00:00,2023-07-16 09:00:00,594,217,Nykirkekaien,60.39705738914522,5.314548482139799,87,AdO arena,60.38543124330305,5.337431780062616,0.0,17.9,8.4,4,0,1,False,True
2023-10-02 19:00:00,2023-10-02 20:00:00,838,1894,Kong Oscars gate,60.393323250707,5.330654155344547,641,Krohnviken,60.37810721367397,5.331020769519228,0.0,12.7,5.5,4,0,2,False,False
2023-06-25 15:00:00,2023-06-25 16:00:00,3807,1889,Nordnes Sjøbad,60.3992308109043,5.302344558881117,814,Nykirken,60.396949224333255,5.313494727727743,0.0,25.6,3.3,2,60,1,False,True
2023-06-06 14:00:00,2023-06-06 14:00:00,308,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,22,Skur 11,60.39638423113168,5.324169337618514,0.0,16.5,6.1,3,60,0,False,False
2023-11-05 15:00:00,2023-11-05 15:00:00,332,3396,Kronstad bybanestopp,60.37178687508714,5.349552885719248,220,Møllendalsplass,60.379685765470725,5.3519936304809335,0.0,9.4,1.7,4,0,2,False,True
2023-06-14 13:00:00,2023-06-14 13:00:00,476,3,Grieghallen,60.38819667374428,5.328564137089416,818,Vågsallmenningen,60.393689548634,5.3265806966931,0.0,25.3,4.4,1,60,0,False,False
2023-09-27 07:00:00,2023-09-27 07:00:00,618,132,Nøstetorget,60.39232605789505,5.314219141179763,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,0.5,14.7,5.1,4,0,2,False,False
2023-06-09 18:00:00,2023-06-09 18:00:00,329,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,640,Damsgårdsveien,60.38151150199543,5.319435364152128,0.0,18.4,5.8,3,60,0,False,False
2023-09-07 13:00:00,2023-09-07 13:00:00,259,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,792,Busstasjonen 2 Vest,60.38828383354144,5.332872680372475,0.0,19.8,5.1,4,0,1,False,False
2023-05-25 18:00:00,2023-05-25 18:00:00,475,804,Stenersen,60.390174061139966,5.324792207669702,1045,Damsgårdsveien 2,60.37802198798124,5.329383048102329,0.0,9.8,5.7,4,0,0,False,False
2023-08-29 05:00:00,2023-08-29 05:00:00,413,1816,Hansaparken,60.38604412210008,5.349253890141261,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,4.1,11.7,2.5,4,0,1,False,False
2023-06-17 13:00:00,2023-06-17 14:00:00,568,220,Møllendalsplass,60.379685765470725,5.3519936304809335,215,Nonneseterplass,60.38967202352878,5.3336050852019525,0.0,23.4,3.1,1,60,0,False,True
2023-06-18 10:00:00,2023-06-18 10:00:00,384,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,157,Florida Bybanestopp,60.382254745562825,5.3323324699108525,0.0,18.4,2.4,2,60,0,False,True
2023-08-01 11:00:00,2023-08-01 11:00:00,447,117,Verftet,60.395877002094046,5.307755827707297,807,Dreggsallmenningen Nord,60.39865649373253,5.3221425864564935,0.0,20.4,3.5,2,60,1,False,False
2023-08-14 12:00:00,2023-08-14 12:00:00,341,132,Nøstetorget,60.39232605789505,5.314219141179763,797,John Lunds plass,60.38824732496974,5.324558211682643,0.0,18.1,5.9,3,0,1,False,False
2023-06-05 20:00:00,2023-06-05 20:00:00,150,796,Strømgaten,60.38658238047282,5.326041074182427,1046,Ole Vigs gate,60.385922875207626,5.321431717819451,0.0,11.7,5.6,1,60,0,False,False
2023-08-16 12:00:00,2023-08-16 12:00:00,447,98,Brann Stadion,60.367425453190464,5.3551910634374735,1900,Tonningneset,60.37957605699612,5.344655017198988,0.0,15.0,3.7,4,0,1,False,False
2023-07-05 19:00:00,2023-07-05 19:00:00,514,156,Allehelgens plass,60.39265146337743,5.328976911981613,138,C. Sundts gate,60.39947506336557,5.308762204430565,0.0,17.0,5.3,3,60,1,False,False
2023-05-26 15:00:00,2023-05-26 15:00:00,373,809,Skutevikstorget,60.40222876911276,5.320744723528605,222,Sandviken Brygge,60.41294568274233,5.320870309021842,0.0,13.6,4.2,3,49,0,False,False
2023-06-09 17:00:00,2023-06-09 17:00:00,263,814,Nykirken,60.396949224333255,5.313494727727743,36,Torgallmenningen,60.39291769029913,5.323669092809325,0.0,18.7,5.2,3,60,0,False,False
2023-10-25 07:00:00,2023-10-25 07:00:00,322,138,C. Sundts gate,60.39947506336557,5.308762204430565,156,Allehelgens plass,60.39265146337743,5.328976911981613,0.0,3.8,2.2,1,0,2,False,False
2023-10-30 18:00:00,2023-10-30 18:00:00,1353,3396,Kronstad bybanestopp,60.37178687508714,5.349552885719248,814,Nykirken,60.396949224333255,5.313494727727743,0.0,5.5,7.6,3,0,2,False,False
2023-11-15 16:00:00,2023-11-15 16:00:00,272,797,John Lunds plass,60.38824732496974,5.324558211682643,58,Tårnplass,60.39375532002469,5.3217920958013565,0.0,3.1,3.4,4,0,2,False,False
2023-05-05 17:00:00,2023-05-05 17:00:00,787,640,Damsgårdsveien,60.38151150199543,5.319435364152128,223,Rådhuset,60.39148438859138,5.328519197920741,0.0,13.6,5.7,1,60,0,False,False
2023-06-16 07:00:00,2023-06-16 08:00:00,2852,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,795,Fosswinckels gate,60.38658166593217,5.327978744635743,0.0,16.9,1.9,1,60,0,False,False
